event_time,read_time,diff
1723174527866413,1723174527866435,22
1723174527866413,1723174527866435,22
1723174527866413,1723174527866436,23
1723174527867413,1723174527867436,23
1723174527867413,1723174527867437,24
1723174527867413,1723174527867437,24
1723174527868418,1723174527868441,23
1723174527868418,1723174527868441,23
1723174527868418,1723174527868441,23
1723174527869414,1723174527869436,22
1723174527869414,1723174527869436,22
1723174527869414,1723174527869437,23
1723174527870411,1723174527870433,22
1723174527870411,1723174527870434,23
1723174527870411,1723174527870434,23
1723174527871420,1723174527871449,29
1723174527871420,1723174527871450,30
1723174527871420,1723174527871450,30
1723174527872409,1723174527872427,18
1723174527872409,1723174527872427,18
1723174527872409,1723174527872428,19
1723174527873419,1723174527873441,22
1723174527873419,1723174527873442,23
1723174527873419,1723174527873442,23
1723174527874417,1723174527874438,21
1723174527874417,1723174527874438,21
1723174527874417,1723174527874438,21
1723174527875422,1723174527875443,21
1723174527875422,1723174527875444,22
1723174527875422,1723174527875444,22
1723174527876423,1723174527876445,22
1723174527876423,1723174527876446,23
1723174527876423,1723174527876446,23
1723174527877412,1723174527877433,21
1723174527877412,1723174527877434,22
1723174527877412,1723174527877435,23
1723174527878415,1723174527878438,23
1723174527878415,1723174527878438,23
1723174527878415,1723174527878439,24
1723174527879416,1723174527879439,23
1723174527879416,1723174527879439,23
1723174527879416,1723174527879440,24
1723174527880411,1723174527880432,21
1723174527880411,1723174527880432,21
1723174527880411,1723174527880433,22
1723174527881414,1723174527881437,23
1723174527881414,1723174527881437,23
1723174527881414,1723174527881438,24
1723174527882417,1723174527882444,27
1723174527882417,1723174527882445,28
1723174527882417,1723174527882445,28
1723174527883408,1723174527883426,18
1723174527883408,1723174527883427,19
1723174527883408,1723174527883427,19
1723174527884420,1723174527884441,21
1723174527884420,1723174527884442,22
1723174527884420,1723174527884443,23
1723174527885418,1723174527885440,22
1723174527885418,1723174527885440,22
1723174527885418,1723174527885440,22
1723174527886418,1723174527886438,20
1723174527886418,1723174527886439,21
1723174527886418,1723174527886439,21
1723174527887421,1723174527887442,21
1723174527887421,1723174527887443,22
1723174527887421,1723174527887443,22
1723174527888412,1723174527888434,22
1723174527888412,1723174527888434,22
1723174527888412,1723174527888435,23
1723174527889413,1723174527889434,21
1723174527889413,1723174527889435,22
1723174527889413,1723174527889435,22
1723174527890417,1723174527890439,22
1723174527890417,1723174527890440,23
1723174527890417,1723174527890440,23
1723174527891410,1723174527891432,22
1723174527891410,1723174527891432,22
1723174527891410,1723174527891433,23
1723174527892417,1723174527892441,24
1723174527892417,1723174527892442,25
1723174527892417,1723174527892442,25
1723174527893410,1723174527893429,19
1723174527893410,1723174527893430,20
1723174527893410,1723174527893430,20
1723174527894412,1723174527894433,21
1723174527894412,1723174527894433,21
1723174527895411,1723174527895432,21
1723174527895411,1723174527895433,22
1723174527895411,1723174527895433,22
1723174527896412,1723174527896433,21
1723174527896412,1723174527896434,22
1723174527896412,1723174527896434,22
